Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	4.988644E-10	0	0	
0.001	0.125	-0.07500001	1.497191E-09	-4.994595E-10	-9.989189E-07	
0.0015	0.125	-0.07500001	2.994981E-09	-1.498378E-09	-1.997838E-06	
0.002	0.125	-0.07500001	4.992234E-09	-2.996757E-09	-2.996757E-06	
0.0025	0.125	-0.07500001	7.488949E-09	-4.994595E-09	-3.995676E-06	
0.003	0.125	-0.07500002	1.048513E-08	-7.491892E-09	-4.994594E-06	
0.0035	0.125	-0.07500002	1.398077E-08	-1.048865E-08	-5.993513E-06	
0.004	0.125	-0.07500003	1.797587E-08	-1.398487E-08	-6.992432E-06	
0.0045	0.125	-0.07500003	2.247044E-08	-1.798054E-08	-7.991352E-06	
0.005	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0055	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.006	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0065	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.007	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0075	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.008	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0085	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.009000001	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.009500001	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.01	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0105	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.011	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0115	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.012	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0125	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.013	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0135	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.014	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0145	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.015	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0155	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.016	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0165	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.017	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0175	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.018	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0185	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.019	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0195	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.02	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.0205	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
0.021	0.125	-0.07500003	2.746447E-08	-2.247568E-08	-8.990271E-06	
