Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	4.994262E-10	0	0	
0.001	0.125	-0.075	1.498317E-09	-4.994595E-10	-9.989189E-07	
0.0015	0.125	-0.075	2.996672E-09	-1.498378E-09	-1.997838E-06	
0.002	0.125	-0.075	4.994491E-09	-2.996757E-09	-2.996757E-06	
0.0025	0.125	-0.075	7.491773E-09	-4.994595E-09	-3.995676E-06	
0.003	0.125	-0.075	1.048852E-08	-7.491892E-09	-4.994594E-06	
0.0035	0.125	-0.075	1.398472E-08	-1.048865E-08	-5.993513E-06	
0.004	0.125	-0.075	1.798039E-08	-1.398487E-08	-6.992432E-06	
0.0045	0.125	-0.075	2.247551E-08	-1.798054E-08	-7.991352E-06	
0.005	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0055	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.006	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0065	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.007	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0075	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.008	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0085	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.009000001	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.009500001	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.01	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0105	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.011	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0115	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.012	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0125	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.013	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0135	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.014	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0145	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.015	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0155	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.016	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0165	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.017	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0175	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.018	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0185	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.019	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0195	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.02	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0205	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.021	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0215	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.022	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0225	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.023	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0235	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.024	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0245	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.025	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
0.0255	0.125	-0.075	2.74701E-08	-2.247568E-08	-8.990271E-06	
