Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	-2.002557E-12	-5.736903E-14	
0.001	0.125	-0.07500245	0	0	-5.736903E-14	
0.0015	0.125	-0.07500636	-8.946039E-10	0.07028545	0.00201353	
0.002	0.125	-0.07501227	-2.179123E-09	0.1009161	0.004904563	
0.0025	0.125	-0.07502019	-3.856782E-09	0.1317955	0.008680225	
0.003	0.125	-0.07503012	-5.93023E-09	0.1628771	0.01334631	
0.0035	0.125	-0.07504205	-8.401742E-09	0.1941296	0.01890771	
0.004	0.125	-0.07505599	-1.127309E-08	0.2255068	0.02536801	
0.0045	0.125	-0.07507192	-1.454583E-08	0.2570081	0.03273075	
0.005	0.125	-0.07508986	-1.822092E-08	0.2885717	0.04099772	
0.0055	0.125	-0.07510979	-2.229962E-08	0.3202128	0.05017114	
0.006	0.1249999	-0.07513171	-2.678279E-08	0.3519008	0.06025235	
0.0065	0.1249999	-0.07515564	-3.167121E-08	0.3836355	0.0712427	
0.007	0.1249999	-0.07518157	-3.696562E-08	0.4154173	0.08314353	
0.0075	0.1249998	-0.07520948	-4.266647E-08	0.4472136	0.09595526	
0.008	0.1249998	-0.07523939	-4.877425E-08	0.4790255	0.1096783	
0.0085	0.1249997	-0.0752713	-5.528942E-08	0.510853	0.1243132	
0.009000001	0.1249997	-0.0753052	-6.221273E-08	0.5427138	0.1398608	
0.009500001	0.1249996	-0.0753411	-6.954446E-08	0.5745715	0.1563211	
0.01	0.1249995	-0.07537898	-7.728499E-08	0.6064306	0.173694	
0.0105	0.1249993	-0.07541887	-8.543494E-08	0.6383042	0.1919801	
0.011	0.1249992	-0.07546075	-9.399484E-08	0.6701965	0.2111798	
0.0115	0.124999	-0.07550462	-1.029651E-07	0.7020835	0.231293	
0.012	0.1249988	-0.07555049	-1.123462E-07	0.7339734	0.2523198	
0.0125	0.1249986	-0.07559835	-1.221385E-07	0.7658656	0.2742603	
0.013	0.1249984	-0.07564821	-1.323424E-07	0.7977541	0.2971142	
0.0135	0.1249981	-0.07570007	-1.429587E-07	0.8296593	0.3208822	
0.014	0.1249978	-0.07575391	-1.539878E-07	0.8615646	0.3455642	
0.0145	0.1249974	-0.07580975	-1.654304E-07	0.893468	0.3711602	
0.015	0.124997	-0.07586759	-1.772866E-07	0.9253584	0.3976698	
0.0155	0.1249966	-0.07592741	-1.895573E-07	0.9572645	0.4250934	
0.016	0.1249961	-0.07598923	-2.022431E-07	0.989167	0.4534309	
0.0165	0.1249956	-0.07605305	-2.153445E-07	1.02107	0.4826824	
0.017	0.1249951	-0.07611885	-2.288621E-07	1.052977	0.512848	
0.0175	0.1249944	-0.07618665	-2.427967E-07	1.084879	0.5439275	
0.018	0.1249938	-0.07625645	-2.571488E-07	1.116782	0.5759209	
0.0185	0.124993	-0.07632824	-2.71919E-07	1.148686	0.6088284	
