Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	0.075	3.054798E-05	0	0	
0.0005	0.125	0.07499778	3.054665E-05	0	0	
0.001	0.125	0.07499335	3.054397E-05	-0.03544968	-0.001015558	
0.0015	0.125	0.0749867	3.053993E-05	-0.07090756	-0.00304691	
0.002	0.125	0.07497784	3.053454E-05	-0.1063654	-0.006094055	
0.0025	0.125	0.07496675	3.05278E-05	-0.1418233	-0.01015699	
0.003	0.125	0.07495346	3.05197E-05	-0.1772812	-0.01523573	
0.0035	0.125	0.07493794	3.051025E-05	-0.2127391	-0.02133025	
0.004	0.125	0.07492021	3.049945E-05	-0.2481969	-0.02844057	
0.0045	0.125	0.07490027	3.048729E-05	-0.2836548	-0.03656668	
0.005	0.125	0.07487811	3.047378E-05	-0.3191127	-0.04570859	
0.0055	0.1249999	0.07485373	3.045892E-05	-0.3545705	-0.05586629	
0.006	0.1249999	0.07482713	3.04427E-05	-0.3900284	-0.06703977	
0.0065	0.1249999	0.07479833	3.042514E-05	-0.4254862	-0.07922906	
0.007	0.1249998	0.07476731	3.040622E-05	-0.4609441	-0.09243413	
0.0075	0.1249997	0.07473406	3.038595E-05	-0.4964019	-0.106655	
0.008	0.1249997	0.0746986	3.036433E-05	-0.5318597	-0.1218916	
0.0085	0.1249996	0.07466093	3.034135E-05	-0.5673175	-0.1381441	
0.009000001	0.1249995	0.07462104	3.031703E-05	-0.6027752	-0.1554123	
0.009500001	0.1249993	0.07457893	3.029136E-05	-0.6382329	-0.1736964	
0.01	0.1249992	0.07453462	3.026434E-05	-0.6736906	-0.1929962	
0.0105	0.124999	0.07448807	3.023597E-05	-0.7091482	-0.2133118	
0.011	0.1249988	0.07443932	3.020625E-05	-0.7446058	-0.2346432	
0.0115	0.1249986	0.07438835	3.017518E-05	-0.7800634	-0.2569903	
0.012	0.1249983	0.07433517	3.014277E-05	-0.8155208	-0.2803533	
0.0125	0.124998	0.07427976	3.010901E-05	-0.8509782	-0.304732	
0.013	0.1249977	0.07422214	3.00739E-05	-0.8864355	-0.3301265	
0.0135	0.1249973	0.07416231	3.003745E-05	-0.9218927	-0.3565368	
0.014	0.1249969	0.07410026	2.999965E-05	-0.9573498	-0.3839628	
0.0145	0.1249964	0.07403599	2.996051E-05	-0.9928068	-0.4124047	
0.015	0.1249959	0.07396951	2.992002E-05	-1.028264	-0.4418623	
0.0155	0.1249954	0.07390082	2.987819E-05	-1.06372	-0.4723356	
0.016	0.1249947	0.0738299	2.983502E-05	-1.099177	-0.5038247	
0.0165	0.1249941	0.07375678	2.979051E-05	-1.134633	-0.5363296	
0.017	0.1249933	0.07368144	2.974466E-05	-1.170089	-0.5698501	
0.0175	0.1249925	0.07360388	2.969747E-05	-1.205545	-0.6043864	
0.018	0.1249916	0.0735241	2.964894E-05	-1.241001	-0.6399385	
0.0185	0.1249906	0.07344212	2.959907E-05	-1.276456	-0.6765063	
0.019	0.1249896	0.0733579	2.954787E-05	-1.311912	-0.7140898	
0.0195	0.1249884	0.07327149	2.949533E-05	-1.347366	-0.7526891	
0.02	0.1249872	0.07318285	2.944145E-05	-1.382821	-0.7923039	
0.0205	0.1249859	0.07309201	2.938625E-05	-1.418275	-0.8329345	
0.021	0.1249845	0.07299894	2.932971E-05	-1.453729	-0.8745807	
0.0215	0.1249829	0.07290366	2.927184E-05	-1.489182	-0.9172428	
0.022	0.1249813	0.07280617	2.921263E-05	-1.524635	-0.9609203	
0.0225	0.1249795	0.07270647	2.91521E-05	-1.560088	-1.005614	
0.023	0.1249777	0.07260454	2.909024E-05	-1.59554	-1.051322	
0.0235	0.1249757	0.07250041	2.902705E-05	-1.630991	-1.098047	
0.024	0.1249735	0.07239407	2.896254E-05	-1.666442	-1.145787	
0.0245	0.1249713	0.0722855	2.889671E-05	-1.701892	-1.194542	
0.025	0.1249689	0.07217473	2.882955E-05	-1.737342	-1.244314	
0.0255	0.1249663	0.07206174	2.876107E-05	-1.772791	-1.2951	
0.026	0.1249636	0.07194655	2.869127E-05	-1.808239	-1.346903	
0.0265	0.1249607	0.07182913	2.862015E-05	-1.843686	-1.39972	
0.027	0.1249577	0.07170951	2.854771E-05	-1.879133	-1.453553	
0.0275	0.1249545	0.07158767	2.847396E-05	-1.914579	-1.508402	
0.028	0.1249511	0.07146363	2.839889E-05	-1.950023	-1.564266	
0.0285	0.1249475	0.07133737	2.832251E-05	-1.985467	-1.621146	
0.029	0.1249437	0.07120891	2.824482E-05	-2.02091	-1.67904	
0.0295	0.1249397	0.07107823	2.816582E-05	-2.056352	-1.737951	
0.03	0.1249356	0.07094534	2.808551E-05	-2.091792	-1.797876	
0.0305	0.1249312	0.07081025	2.800389E-05	-2.127232	-1.858817	
0.031	0.1249266	0.07067294	2.792098E-05	-2.16267	-1.920773	
0.0315	0.1249217	0.07053343	2.783675E-05	-2.198107	-1.983744	
0.032	0.1249167	0.07039171	2.775123E-05	-2.233542	-2.04773	
0.0325	0.1249113	0.07024778	2.766441E-05	-2.268976	-2.112731	
0.033	0.1249058	0.07010164	2.757629E-05	-2.304408	-2.178748	
0.0335	0.1248999	0.06995331	2.748687E-05	-2.339839	-2.245779	
0.034	0.1248938	0.06980276	2.739617E-05	-2.375268	-2.313826	
0.0345	0.1248875	0.06965001	2.730417E-05	-2.410696	-2.382887	
0.035	0.1248808	0.06949505	2.721088E-05	-2.446121	-2.452963	
0.0355	0.1248739	0.0693379	2.711631E-05	-2.481545	-2.524054	
0.036	0.1248666	0.06917854	2.702045E-05	-2.516967	-2.59616	
0.0365	0.1248591	0.06901698	2.692331E-05	-2.552387	-2.669281	
0.037	0.1248512	0.06885321	2.682488E-05	-2.587804	-2.743416	
0.0375	0.1248431	0.06868725	2.672518E-05	-2.623219	-2.818566	
0.038	0.1248345	0.06851909	2.662421E-05	-2.658632	-2.89473	
0.0385	0.1248257	0.06834873	2.652196E-05	-2.694043	-2.971908	
0.039	0.1248165	0.06817617	2.641844E-05	-2.729451	-3.050101	
0.0395	0.1248069	0.06800141	2.631365E-05	-2.764856	-3.129309	
0.04	0.1247969	0.06782446	2.620759E-05	-2.800259	-3.20953	
0.0405	0.1247866	0.06764532	2.610028E-05	-2.835659	-3.290766	
0.041	0.1247759	0.06746398	2.599169E-05	-2.871055	-3.373015	
0.0415	0.1247648	0.06728045	2.588186E-05	-2.906449	-3.456279	
0.042	0.1247533	0.06709473	2.577076E-05	-2.94184	-3.540557	
0.0425	0.1247414	0.06690682	2.565842E-05	-2.977227	-3.625848	
0.043	0.124729	0.06671672	2.554482E-05	-3.012611	-3.712153	
0.0435	0.1247162	0.06652443	2.542998E-05	-3.047991	-3.799471	
0.044	0.124703	0.06632996	2.531389E-05	-3.083368	-3.887804	
0.0445	0.1246893	0.06613331	2.519656E-05	-3.118741	-3.977149	
0.045	0.1246751	0.06593446	2.507799E-05	-3.15411	-4.067507	
