Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	1.323489E-20	3.791517E-22	
0.001	0.125	-0.07500245	0	0	3.791517E-22	
0.0015	0.125	-0.07500634	4.250155E-12	0.07004219	0.002006561	
0.002	0.125	-0.07501223	-1.273949E-09	0.1004178	0.00488332	
0.0025	0.125	-0.0750201	-2.97797E-09	0.1310494	0.008637609	
0.003	0.125	-0.07502997	-5.096161E-09	0.1618857	0.01327529	
0.0035	0.125	-0.07504182	-7.620669E-09	0.1928858	0.01880107	
0.004	0.125	-0.07505566	-1.054639E-08	0.2240169	0.02521868	
0.0045	0.125	-0.07507148	-1.387022E-08	0.2552528	0.03253113	
0.005	0.125	-0.0750893	-1.759042E-08	0.2865726	0.04074083	
0.0055	0.125	-0.07510909	-2.170627E-08	0.3179595	0.0498497	
0.006	0.1249999	-0.07513086	-2.62177E-08	0.3494	0.05985927	
0.0065	0.1249999	-0.07515461	-3.112508E-08	0.3808835	0.07077078	
0.007	0.1249999	-0.07518034	-3.642909E-08	0.4124013	0.08258521	
0.0075	0.1249998	-0.07520806	-4.213056E-08	0.4439465	0.09530333	
0.008	0.1249998	-0.07523774	-4.823043E-08	0.475514	0.1089258	
0.0085	0.1249997	-0.07526942	-5.472966E-08	0.5070984	0.1234531	
0.009000001	0.1249996	-0.07530307	-6.162923E-08	0.5386974	0.1388856	
0.009500001	0.1249996	-0.07533871	-6.893011E-08	0.5703074	0.1552238	
0.01	0.1249995	-0.07537631	-7.663321E-08	0.6019268	0.1724677	
0.0105	0.1249993	-0.0754159	-8.473944E-08	0.6335526	0.1906176	
0.011	0.1249992	-0.07545747	-9.324965E-08	0.665185	0.2096738	
0.0115	0.124999	-0.07550102	-1.021647E-07	0.6968211	0.2296362	
0.012	0.1249988	-0.07554653	-1.114853E-07	0.7284619	0.2505051	
0.0125	0.1249986	-0.07559404	-1.212122E-07	0.7601045	0.2722805	
0.013	0.1249984	-0.07564352	-1.313463E-07	0.7917499	0.2949625	
0.0135	0.1249981	-0.07569498	-1.418881E-07	0.8233972	0.3185511	
0.014	0.1249978	-0.07574841	-1.528384E-07	0.8550463	0.3430464	
0.0145	0.1249975	-0.07580383	-1.641979E-07	0.8866954	0.3684483	
0.015	0.1249971	-0.07586122	-1.759672E-07	0.9183464	0.394757	
0.0155	0.1249967	-0.0759206	-1.881471E-07	0.9499974	0.4219724	
0.016	0.1249962	-0.07598194	-2.007382E-07	0.9816503	0.4500946	
0.0165	0.1249957	-0.07604527	-2.137411E-07	1.013301	0.4791236	
0.017	0.1249951	-0.07611059	-2.271566E-07	1.044955	0.5090593	
0.0175	0.1249945	-0.07617787	-2.409853E-07	1.076605	0.5399018	
0.018	0.1249939	-0.07624713	-2.552279E-07	1.108261	0.5716512	
0.0185	0.1249931	-0.07631838	-2.698852E-07	1.139911	0.6043072	
0.019	0.1249923	-0.07639159	-2.849578E-07	1.171566	0.6378701	
0.0195	0.1249915	-0.07646679	-3.004464E-07	1.203217	0.6723397	
0.02	0.1249906	-0.07654396	-3.163518E-07	1.23487	0.7077161	
0.0205	0.1249896	-0.07662311	-3.326748E-07	1.266522	0.7439993	
0.021	0.1249885	-0.07670424	-3.49416E-07	1.298174	0.7811893	
0.0215	0.1249873	-0.07678735	-3.665764E-07	1.329828	0.819286	
0.022	0.1249861	-0.07687243	-3.841566E-07	1.361478	0.8582895	
0.0225	0.1249848	-0.07695949	-4.021575E-07	1.39313	0.8981997	
0.023	0.1249833	-0.07704853	-4.205799E-07	1.424778	0.9390166	
0.0235	0.1249818	-0.07713954	-4.394246E-07	1.456432	0.9807404	
0.024	0.1249802	-0.07723253	-4.586925E-07	1.488082	1.023371	
0.0245	0.1249785	-0.0773275	-4.783845E-07	1.519732	1.066908	
0.025	0.1249766	-0.07742444	-4.985014E-07	1.551382	1.111352	
0.0255	0.1249747	-0.07752337	-5.190442E-07	1.583029	1.156702	
0.026	0.1249726	-0.07762426	-5.400138E-07	1.614679	1.202959	
0.0265	0.1249704	-0.07772713	-5.614112E-07	1.646329	1.250123	
0.027	0.1249681	-0.07783198	-5.832371E-07	1.677975	1.298194	
0.0275	0.1249656	-0.0779388	-6.054927E-07	1.709618	1.34717	
0.028	0.124963	-0.0780476	-6.28179E-07	1.741268	1.397054	
0.0285	0.1249603	-0.07815837	-6.512969E-07	1.772914	1.447844	
0.029	0.1249574	-0.07827112	-6.748474E-07	1.804557	1.499541	
