Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.07500222	-4.513239E-10	0	0	
0.001	0.125	-0.07500665	-1.354029E-09	0.03545761	0.001015786	
0.0015	0.125	-0.0750133	-2.708157E-09	0.07091548	0.003047365	
0.002	0.125	-0.07502216	-4.513773E-09	0.1063733	0.006094737	
0.0025	0.125	-0.07503324	-6.770969E-09	0.1418312	0.0101579	
0.003	0.125	-0.07504654	-9.47986E-09	0.1772891	0.01523686	
0.0035	0.125	-0.07506205	-1.264059E-08	0.2127469	0.02133161	
0.004	0.125	-0.07507978	-1.625332E-08	0.2482048	0.02844216	
0.0045	0.125	-0.07509973	-2.031823E-08	0.2836626	0.03656849	
0.005	0.1249999	-0.07512189	-2.483556E-08	0.3191204	0.04571062	
0.0055	0.1249999	-0.07514627	-2.980552E-08	0.3545783	0.05586854	
0.006	0.1249999	-0.07517286	-3.522839E-08	0.3900361	0.06704225	
0.0065	0.1249998	-0.07520167	-4.110445E-08	0.4254939	0.07923175	
0.007	0.1249998	-0.07523269	-4.743401E-08	0.4609517	0.09243704	
0.0075	0.1249997	-0.07526594	-5.421741E-08	0.4964095	0.1066581	
0.008	0.1249997	-0.07530139	-6.1455E-08	0.5318673	0.121895	
0.0085	0.1249996	-0.07533907	-6.914716E-08	0.567325	0.1381477	
0.009000001	0.1249995	-0.07537895	-7.72943E-08	0.6027827	0.1554161	
0.009500001	0.1249993	-0.07542106	-8.589685E-08	0.6382404	0.1737004	
0.01	0.1249992	-0.07546538	-9.495527E-08	0.673698	0.1930004	
0.0105	0.124999	-0.07551192	-1.0447E-07	0.7091556	0.2133162	
0.011	0.1249988	-0.07556068	-1.144416E-07	0.7446132	0.2346478	
0.0115	0.1249985	-0.07561164	-1.248706E-07	0.7800707	0.2569952	
0.012	0.1249983	-0.07566483	-1.357574E-07	0.8155282	0.2803583	
0.0125	0.124998	-0.07572024	-1.471028E-07	0.8509855	0.3047373	
0.013	0.1249976	-0.07577785	-1.589072E-07	0.8864428	0.330132	
0.0135	0.1249973	-0.07583769	-1.711713E-07	0.9219	0.3565425	
0.014	0.1249968	-0.07589974	-1.838957E-07	0.957357	0.3839688	
0.0145	0.1249964	-0.075964	-1.970811E-07	0.9928141	0.4124108	
0.015	0.1249958	-0.07603049	-2.107282E-07	1.028271	0.4418686	
0.0155	0.1249953	-0.07609918	-2.248377E-07	1.063728	0.4723422	
0.016	0.1249946	-0.07617009	-2.394103E-07	1.099184	0.5038314	
0.0165	0.1249939	-0.07624321	-2.544468E-07	1.13464	0.5363365	
0.017	0.1249931	-0.07631856	-2.699479E-07	1.170097	0.5698573	
0.0175	0.1249923	-0.07639612	-2.859144E-07	1.205553	0.6043938	
0.018	0.1249914	-0.0764759	-3.023473E-07	1.241008	0.6399462	
0.0185	0.1249904	-0.07655788	-3.192472E-07	1.276464	0.6765141	
0.019	0.1249893	-0.07664209	-3.366151E-07	1.311919	0.7140978	
0.0195	0.1249882	-0.07672851	-3.544519E-07	1.347374	0.7526972	
0.02	0.1249869	-0.07681714	-3.727585E-07	1.382829	0.7923124	
0.0205	0.1249856	-0.07690798	-3.915357E-07	1.418283	0.8329432	
0.021	0.1249841	-0.07700105	-4.107847E-07	1.453737	0.8745897	
0.0215	0.1249826	-0.07709633	-4.305063E-07	1.48919	0.9172519	
0.022	0.1249809	-0.07719382	-4.507015E-07	1.524644	0.9609297	
0.0225	0.1249792	-0.07729353	-4.713714E-07	1.560096	1.005623	
0.023	0.1249772	-0.07739545	-4.92517E-07	1.595548	1.051332	
0.0235	0.1249752	-0.07749958	-5.141393E-07	1.631	1.098057	
0.024	0.1249731	-0.07760593	-5.362395E-07	1.666451	1.145797	
0.0245	0.1249708	-0.07771449	-5.588186E-07	1.701902	1.194553	
0.025	0.1249683	-0.07782526	-5.818778E-07	1.737351	1.244325	
0.0255	0.1249657	-0.07793825	-6.054182E-07	1.772801	1.295112	
0.026	0.124963	-0.07805344	-6.29441E-07	1.808249	1.346914	
0.0265	0.1249601	-0.07817086	-6.539474E-07	1.843697	1.399732	
0.027	0.124957	-0.07829048	-6.789386E-07	1.879144	1.453566	
0.0275	0.1249537	-0.07841232	-7.044158E-07	1.91459	1.508415	
0.028	0.1249503	-0.07853635	-7.303801E-07	1.950035	1.564279	
0.0285	0.1249467	-0.07866261	-7.568331E-07	1.985479	1.621159	
0.029	0.1249428	-0.07879107	-7.837758E-07	2.020923	1.679054	
0.0295	0.1249388	-0.07892176	-8.112097E-07	2.056365	1.737965	
0.03	0.1249346	-0.07905465	-8.39136E-07	2.091806	1.79789	
0.0305	0.1249301	-0.07918974	-8.675561E-07	2.127246	1.858832	
0.031	0.1249255	-0.07932704	-8.964714E-07	2.162685	1.920788	
0.0315	0.1249206	-0.07946655	-9.258832E-07	2.198122	1.98376	
0.032	0.1249154	-0.07960827	-9.557929E-07	2.233558	2.047746	
0.0325	0.1249101	-0.0797522	-9.862019E-07	2.268993	2.112748	
0.033	0.1249044	-0.07989833	-1.017112E-06	2.304426	2.178765	
0.0335	0.1248985	-0.08004667	-1.048524E-06	2.339858	2.245797	
0.034	0.1248924	-0.08019722	-1.08044E-06	2.375288	2.313844	
0.0345	0.1248859	-0.08034997	-1.112861E-06	2.410717	2.382906	
0.035	0.1248792	-0.08050492	-1.145789E-06	2.446143	2.452983	
0.0355	0.1248722	-0.08066207	-1.179225E-06	2.481568	2.524074	
0.036	0.1248649	-0.08082143	-1.213171E-06	2.516991	2.596181	
0.0365	0.1248573	-0.08098299	-1.247628E-06	2.552412	2.669302	
0.037	0.1248493	-0.08114675	-1.282598E-06	2.58783	2.743438	
0.0375	0.1248411	-0.08131271	-1.318083E-06	2.623247	2.818588	
