Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.1250009	-0.07500046	0	
0.001	0.1250027	-0.07500138	0	
0.0015	0.1250055	-0.07500275	0	
0.002	0.1250092	-0.07500459	0	
0.0025	0.1250137	-0.07500689	0	
0.003	0.1250192	-0.07500964	0	
0.0035	0.1250256	-0.07501284	0	
0.004	0.125033	-0.07501651	0	
0.0045	0.1250412	-0.07502063	0	
0.005	0.1250504	-0.07502521	0	
0.0055	0.1250605	-0.07503024	0	
0.006	0.1250715	-0.07503574	0	
0.0065	0.1250834	-0.0750417	0	
0.007	0.1250962	-0.0750481	0	
0.0075	0.1251099	-0.07505497	0	
0.008	0.1251246	-0.07506228	0	
0.0085	0.1251401	-0.07507006	0	
0.009000001	0.1251566	-0.07507829	0	
0.009500001	0.125174	-0.07508697	0	
0.01	0.1251923	-0.07509612	0	
0.0105	0.1252116	-0.07510572	0	
0.011	0.1252317	-0.07511576	0	
0.0115	0.1252528	-0.07512628	0	
0.012	0.1252748	-0.07513723	0	
0.0125	0.1252977	-0.07514863	0	
0.013	0.1253215	-0.0751605	0	
0.0135	0.1253462	-0.07517282	0	
0.014	0.1253719	-0.07518559	0	
0.0145	0.1253984	-0.07519881	0	
0.015	0.1254259	-0.07521247	0	
0.0155	0.1254543	-0.0752266	0	
0.016	0.1254836	-0.07524117	0	
0.0165	0.1255138	-0.07525619	0	
0.017	0.1255449	-0.07527166	0	
0.0175	0.125577	-0.07528757	0	
0.018	0.1256099	-0.07530393	0	
0.0185	0.1256438	-0.07532074	0	
0.019	0.1256786	-0.075338	0	
0.0195	0.1257143	-0.07535571	0	
0.02	0.1257509	-0.07537385	0	
0.0205	0.1257884	-0.07539245	0	
0.021	0.1258269	-0.07541149	0	
0.0215	0.1258662	-0.07543097	0	
0.022	0.1259065	-0.07545089	0	
0.0225	0.1259477	-0.07547125	0	
0.023	0.1259898	-0.07549205	0	
0.0235	0.1260328	-0.0755133	0	
0.024	0.1260768	-0.07553499	0	
0.0245	0.1261216	-0.07555711	0	
0.025	0.1261674	-0.07557967	0	
0.0255	0.126214	-0.07560267	0	
0.026	0.1262616	-0.0756261	0	
0.0265	0.1263101	-0.07564997	0	
0.027	0.1263595	-0.07567427	0	
0.0275	0.1264099	-0.07569901	0	
0.028	0.1264611	-0.07572418	0	
0.0285	0.1265132	-0.07574978	0	
0.029	0.1265663	-0.07577582	0	
0.0295	0.1266203	-0.07580227	0	
0.03	0.1266751	-0.07582916	0	
0.0305	0.1267309	-0.07585648	0	
0.031	0.1267876	-0.07588423	0	
0.0315	0.1268453	-0.0759124	0	
0.032	0.1269038	-0.07594099	0	
0.0325	0.1269632	-0.07597002	0	
