Time	PendulumX	PendulumY	PendulumZ	Rotation	
0	0	-7	0	0	
0.001	0	-7	0	2.502768E-15	
0.002	0	-7.00001	0	0.002	
0.003	-0.0005607822	-6.999977	1.142051E-07	0.001680112	
0.004	-0.001645033	-6.999956	3.350161E-07	0.001515005	
0.005	-0.00322031	-6.999942	6.558263E-07	0.001484045	
0.006	-0.005258251	-6.999931	1.070859E-06	0.001570379	
0.007	-0.007733832	-6.999921	1.575019E-06	0.001760194	
0.008	-0.01062478	-6.99991	2.163769E-06	0.002042115	
0.009000001	-0.01391109	-6.999897	2.833037E-06	0.002406732	
0.01	-0.01757467	-6.999879	3.579136E-06	0.002846215	
0.011	-0.02159898	-6.999858	4.398699E-06	0.003354009	
0.012	-0.02596883	-6.999832	5.288634E-06	0.003924591	
0.013	-0.03067018	-6.9998	6.246078E-06	0.004553267	
0.014	-0.03568993	-6.999762	7.268366E-06	0.005236022	
0.015	-0.04101584	-6.999717	8.353004E-06	0.005969389	
0.016	-0.04663638	-6.999665	9.497645E-06	0.006750348	
0.017	-0.05254068	-6.999606	1.070007E-05	0.007576248	
0.018	-0.05871842	-6.999538	1.195819E-05	0.008444733	
0.019	-0.0651598	-6.999463	1.327E-05	0.009353706	
0.02	-0.07185546	-6.999378	1.463359E-05	0.01030126	
0.021	-0.07879648	-6.999284	1.604715E-05	0.01128569	
0.022	-0.08597431	-6.99918	1.750894E-05	0.0123054	
0.023	-0.09338073	-6.999066	1.901728E-05	0.01335893	
0.024	-0.1010079	-6.998941	2.057057E-05	0.01444493	
0.025	-0.1088482	-6.998805	2.216727E-05	0.01556214	
0.026	-0.1168943	-6.998656	2.38059E-05	0.01670938	
0.027	-0.1251393	-6.998496	2.548502E-05	0.01788552	
0.028	-0.1335764	-6.998322	2.720326E-05	0.01908951	
0.029	-0.1421991	-6.998135	2.895929E-05	0.02032034	
0.03	-0.151001	-6.997934	3.075182E-05	0.02157705	
0.031	-0.1599761	-6.99772	3.257963E-05	0.02285875	
0.032	-0.1691185	-6.99749	3.444151E-05	0.02416454	
0.033	-0.1784226	-6.997245	3.633632E-05	0.02549361	
0.034	-0.1878828	-6.996984	3.826293E-05	0.02684513	
0.035	-0.197494	-6.996707	4.022027E-05	0.02821835	
0.036	-0.2072509	-6.996413	4.22073E-05	0.02961252	
0.037	-0.2171487	-6.996102	4.422302E-05	0.03102692	
0.038	-0.2271826	-6.995774	4.626644E-05	0.03246088	
0.039	-0.2373479	-6.995427	4.833663E-05	0.03391372	
0.04	-0.2476401	-6.995062	5.043269E-05	0.03538482	
0.041	-0.2580551	-6.994678	5.255374E-05	0.03687355	
0.042	-0.2685886	-6.994275	5.469891E-05	0.03837932	
0.043	-0.2792365	-6.993852	5.68674E-05	0.03990155	
0.044	-0.289995	-6.993409	5.905839E-05	0.0414397	
0.045	-0.3008603	-6.992945	6.127114E-05	0.04299322	
0.046	-0.3118287	-6.992461	6.35049E-05	0.0445616	
0.047	-0.3228967	-6.991955	6.575893E-05	0.04614434	
0.048	-0.3340609	-6.991428	6.803255E-05	0.04774096	
0.049	-0.345318	-6.990879	7.032509E-05	0.04935098	
0.05	-0.3566647	-6.990308	7.26359E-05	0.05097396	
0.051	-0.3680981	-6.989715	7.496434E-05	0.05260947	
0.052	-0.3796151	-6.989099	7.73098E-05	0.05425708	
0.053	-0.3912127	-6.98846	7.96717E-05	0.05591638	
0.054	-0.4028883	-6.987797	8.204947E-05	0.05758699	
0.055	-0.4146391	-6.987111	8.444255E-05	0.05926852	
0.056	-0.4264625	-6.986402	8.685042E-05	0.06096061	
0.057	-0.4383559	-6.985668	8.927255E-05	0.06266289	
0.058	-0.4503169	-6.98491	9.170845E-05	0.06437504	
0.059	-0.4623431	-6.984128	9.415762E-05	0.06609672	
0.06	-0.4744323	-6.98332	9.661961E-05	0.06782761	
0.061	-0.4865821	-6.982488	9.909396E-05	0.06956738	
0.062	-0.4987905	-6.981631	0.0001015802	0.07131576	
0.063	-0.5110554	-6.980749	0.000104078	0.07307244	
0.064	-0.5233747	-6.979841	0.0001065869	0.07483714	
0.06500001	-0.5357465	-6.978908	0.0001091064	0.0766096	
0.066	-0.5481689	-6.977949	0.0001116363	0.07838956	
0.067	-0.5606401	-6.976964	0.0001141761	0.08017676	
0.068	-0.5731583	-6.975953	0.0001167255	0.08197095	
0.06900001	-0.5857219	-6.974916	0.0001192841	0.08377189	
0.07	-0.5983291	-6.973853	0.0001218516	0.08557938	
0.071	-0.6109784	-6.972763	0.0001244276	0.08739318	
0.072	-0.6236682	-6.971646	0.000127012	0.08921308	
0.07300001	-0.636397	-6.970503	0.0001296042	0.09103888	
0.074	-0.6491634	-6.969334	0.0001322041	0.09287037	
0.075	-0.6619658	-6.968137	0.0001348114	0.09470735	
0.07600001	-0.6748031	-6.966913	0.0001374258	0.09654965	
0.07700001	-0.6876739	-6.965662	0.0001400469	0.09839708	
0.078	-0.7005768	-6.964385	0.0001426746	0.1002494	
0.079	-0.7135107	-6.963079	0.0001453087	0.1021066	
0.08000001	-0.7264743	-6.961747	0.0001479488	0.1039684	
0.081	-0.7394666	-6.960388	0.0001505947	0.1058347	
0.082	-0.7524863	-6.959001	0.0001532462	0.1077053	
0.083	-0.7655325	-6.957586	0.0001559031	0.1095801	
0.08400001	-0.778604	-6.956144	0.0001585651	0.1114589	
0.085	-0.7916998	-6.954675	0.0001612322	0.1133416	
0.086	-0.8048189	-6.953177	0.0001639039	0.115228	
