Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0	-0.07	0	-0.05	-0.55	-0.07	0	0.05	-0.35	
0.0004	-0.07	0	-0.05	-0.55	-0.07	0	0.05	-0.35	
0.0008	-0.07	0	-0.05	-0.5500016	-0.07	0	0.05	-0.3500016	
0.0012	-0.07	0	-0.04999926	-0.5500013	-0.07	0	0.05000047	-0.3500012	
0.0016	-0.07	0	-0.0499973	-0.5500013	-0.07	0	0.05000172	-0.3500008	
0.002	-0.07	0	-0.04999378	-0.5500014	-0.07	0	0.05000396	-0.3500002	
0.0024	-0.07	0	-0.04998849	-0.5500017	-0.07	0	0.05000732	-0.3499996	
0.0028	-0.07	0	-0.04998129	-0.5500022	-0.07	0	0.05001191	-0.3499988	
0.0032	-0.07	0	-0.04997208	-0.550003	-0.07	0	0.05001777	-0.3499979	
0.0036	-0.07	0	-0.04996079	-0.5500039	-0.07	0	0.05002495	-0.3499968	
0.004	-0.07	0	-0.04994739	-0.5500051	-0.07	0	0.05003348	-0.3499955	
0.0044	-0.07	0	-0.04993184	-0.5500064	-0.07	0	0.05004337	-0.349994	
0.0048	-0.07	0	-0.04991413	-0.550008	-0.07	0	0.05005464	-0.3499924	
0.0052	-0.07	0	-0.04989425	-0.5500097	-0.07	0	0.05006729	-0.3499905	
0.0056	-0.07	0	-0.04987219	-0.5500118	-0.07	0	0.05008134	-0.3499885	
0.006	-0.07	0	-0.04984793	-0.5500139	-0.07	0	0.05009677	-0.3499863	
0.0064	-0.07	0	-0.04982148	-0.5500163	-0.07	0	0.0501136	-0.3499838	
0.0068	-0.07	0	-0.04979284	-0.5500188	-0.07	0	0.05013182	-0.3499812	
0.0072	-0.07	0	-0.04976201	-0.5500216	-0.07	0	0.05015144	-0.3499784	
0.0076	-0.07	0	-0.04972897	-0.5500246	-0.07	0	0.05017247	-0.3499753	
0.007999999	-0.07	0	-0.04969374	-0.5500278	-0.07	0	0.05019488	-0.3499721	
0.0084	-0.07	0	-0.04965631	-0.5500311	-0.07	0	0.0502187	-0.3499687	
0.0088	-0.07	0	-0.04961669	-0.5500347	-0.07	0	0.05024391	-0.3499651	
