Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	1	-0.0001016532	0	0	0	
0.0005	0	1	-0.0001016532	0	-0.004905	0	
0.001	0	0.9999976	-0.0001016532	0	-0.009810001	0	
0.0015	0	0.9999927	-0.0001016532	0	-0.014715	0	
0.002	0	0.9999853	-0.0001016532	0	-0.01962	0	
0.0025	0	0.9999755	-0.0001016532	0	-0.024525	0	
0.003	0	0.9999632	-0.0001016532	0	-0.02943	0	
0.0035	0	0.9999485	-0.0001016532	0	-0.034335	0	
0.004	0	0.9999313	-0.0001016532	0	-0.03924	0	
0.0045	0	0.9999117	-0.0001016532	0	-0.044145	0	
0.005	0	0.9998896	-0.0001016532	0	-0.04905	0	
0.0055	0	0.9998651	-0.0001016532	0	-0.053955	0	
0.006	0	0.9998381	-0.0001016532	0	-0.05886	0	
0.0065	0	0.9998087	-0.0001016532	0	-0.063765	0	
0.007	0	0.9997768	-0.0001016532	0	-0.06867	0	
0.0075	0	0.9997425	-0.0001016532	0	-0.073575	0	
0.008	0	0.9997057	-0.0001016532	0	-0.07848001	0	
0.0085	0	0.9996665	-0.0001016532	0	-0.08338501	0	
0.009000001	0	0.9996248	-0.0001016532	0	-0.08829001	0	
0.009500001	0	0.9995806	-0.0001016532	0	-0.09319501	0	
0.01	0	0.999534	-0.0001016532	0	-0.09810001	0	
0.0105	0	0.999485	-0.0001016532	0	-0.103005	0	
0.011	0	0.9994335	-0.0001016532	0	-0.10791	0	
0.0115	0	0.9993795	-0.0001016532	0	-0.112815	0	
0.012	0	0.9993231	-0.0001016532	0	-0.11772	0	
0.0125	0	0.9992642	-0.0001016532	0	-0.122625	0	
0.013	0	0.999203	-0.0001016532	0	-0.12753	0	
0.0135	0	0.9991392	-0.0001016532	0	-0.132435	0	
0.014	0	0.999073	-0.0001016532	0	-0.13734	0	
0.0145	0	0.9990043	-0.0001016532	0	-0.142245	0	
0.015	0	0.9989331	-0.0001016532	0	-0.14715	0	
0.0155	0	0.9988596	-0.0001016532	0	-0.152055	0	
0.016	0	0.9987836	-0.0001016532	0	-0.15696	0	
0.0165	0	0.9987051	-0.0001016532	0	-0.161865	0	
0.017	0	0.9986241	-0.0001016532	0	-0.16677	0	
0.0175	0	0.9985408	-0.0001016532	0	-0.171675	0	
0.018	0	0.9984549	-0.0001016532	0	-0.17658	0	
0.0185	0	0.9983667	-0.0001016532	0	-0.181485	0	
0.019	0	0.9982759	-0.0001016532	0	-0.18639	0	
0.0195	0	0.9981827	-0.0001016532	0	-0.191295	0	
0.02	0	0.998087	-0.0001016532	0	-0.1962	0	
0.0205	0	0.9979889	-0.0001016532	0	-0.201105	0	
0.021	0	0.9978884	-0.0001016532	0	-0.20601	0	
0.0215	0	0.9977854	-0.0001016532	0	-0.210915	0	
0.022	0	0.9976799	-0.0001016532	0	-0.21582	0	
0.0225	0	0.997572	-0.0001016532	0	-0.220725	0	
0.023	0	0.9974617	-0.0001016532	0	-0.22563	0	
0.0235	0	0.9973488	-0.0001016532	0	-0.230535	0	
0.024	0	0.9972336	-0.0001016532	0	-0.23544	0	
0.0245	0	0.9971159	-0.0001016532	0	-0.240345	0	
0.025	0	0.9969957	-0.0001016532	0	-0.24525	0	
0.0255	0	0.9968731	-0.0001016532	0	-0.250155	0	
0.026	0	0.996748	-0.0001016532	0	-0.25506	0	
0.0265	0	0.9966205	-0.0001016532	0	-0.259965	0	
0.027	0	0.9964905	-0.0001016532	0	-0.26487	0	
0.0275	0	0.996358	-0.0001016532	0	-0.269775	0	
0.028	0	0.9962232	-0.0001016532	0	-0.27468	0	
0.0285	0	0.9960858	-0.0001016532	0	-0.279585	0	
0.029	0	0.995946	-0.0001016532	0	-0.28449	0	
0.0295	0	0.9958038	-0.0001016532	0	-0.289395	0	
0.03	0	0.9956591	-0.0001016532	0	-0.2943	0	
0.0305	0	0.9955119	-0.0001016532	0	-0.299205	0	
0.031	0	0.9953623	-0.0001016532	0	-0.30411	0	
0.0315	0	0.9952103	-0.0001016532	0	-0.309015	0	
0.032	0	0.9950557	-0.0001016532	0	-0.31392	0	
0.0325	0	0.9948988	-0.0001016532	0	-0.318825	0	
0.033	0	0.9947394	-0.0001016532	0	-0.32373	0	
0.0335	0	0.9945775	-0.0001016532	0	-0.328635	0	
0.034	0	0.9944132	-0.0001016532	0	-0.33354	0	
0.0345	0	0.9942464	-0.0001016532	0	-0.338445	0	
0.035	0	0.9940772	-0.0001016532	0	-0.34335	0	
0.0355	0	0.9939055	-0.0001016532	0	-0.348255	0	
0.036	0	0.9937314	-0.0001016532	0	-0.35316	0	
0.0365	0	0.9935548	-0.0001016532	0	-0.358065	0	
0.037	0	0.9933758	-0.0001016532	0	-0.36297	0	
0.0375	0	0.9931943	-0.0001016532	0	-0.367875	0	
0.038	0	0.9930104	-0.0001016532	0	-0.37278	0	
0.0385	0	0.992824	-0.0001016532	0	-0.377685	0	
0.039	0	0.9926351	-0.0001016532	0	-0.38259	0	
0.0395	0	0.9924439	-0.0001016532	0	-0.387495	0	
0.04	0	0.9922501	-0.0001016532	0	-0.3924	0	
0.0405	0	0.9920539	-0.0001016532	0	-0.397305	0	
0.041	0	0.9918553	-0.0001016532	0	-0.40221	0	
0.0415	0	0.9916542	-0.0001016532	0	-0.407115	0	
0.042	0	0.9914506	-0.0001016532	0	-0.41202	0	
0.0425	0	0.9912446	-0.0001016532	0	-0.416925	0	
0.043	0	0.9910361	-0.0001016532	0	-0.42183	0	
0.0435	0	0.9908252	-0.0001016532	0	-0.426735	0	
0.044	0	0.9906119	-0.0001016532	0	-0.43164	0	
0.0445	0	0.990396	-0.0001016532	0	-0.436545	0	
0.045	0	0.9901778	-0.0001016532	0	-0.44145	0	
0.0455	0	0.989957	-0.0001016532	0	-0.446355	0	
0.046	0	0.9897338	-0.0001016532	0	-0.45126	0	
0.0465	0	0.9895082	-0.0001016532	0	-0.456165	0	
0.047	0	0.9892801	-0.0001016532	0	-0.46107	0	
0.0475	0	0.9890496	-0.0001016532	0	-0.465975	0	
0.048	0	0.9888166	-0.0001016532	0	-0.47088	0	
0.0485	0	0.9885812	-0.0001016532	0	-0.475785	0	
0.049	0	0.9883432	-0.0001016532	0	-0.48069	0	
0.0495	0	0.9881029	-0.0001016532	0	-0.485595	0	
0.05	0	0.9878601	-0.0001016532	0	-0.4905	0	
0.0505	0	0.9876149	-0.0001016532	0	-0.495405	0	
0.051	0	0.9873672	-0.0001016532	0	-0.5003101	0	
0.0515	0	0.987117	-0.0001016532	0	-0.505215	0	
0.052	0	0.9868644	-0.0001016532	0	-0.51012	0	
0.0525	0	0.9866093	-0.0001016532	0	-0.515025	0	
0.053	0	0.9863518	-0.0001016532	0	-0.5199301	0	
0.0535	0	0.9860919	-0.0001016532	0	-0.5248351	0	
0.054	0	0.9858295	-0.0001016532	0	-0.52974	0	
0.0545	0	0.9855646	-0.0001016532	0	-0.534645	0	
0.055	0	0.9852973	-0.0001016532	0	-0.5395501	0	
0.0555	0	0.9850275	-0.0001016532	0	-0.5444551	0	
0.056	0	0.9847553	-0.0001016532	0	-0.54936	0	
0.0565	0	0.9844806	-0.0001016532	0	-0.554265	0	
0.057	0	0.9842035	-0.0001016532	0	-0.5591701	0	
0.0575	0	0.9839239	-0.0001016532	0	-0.5640751	0	
0.058	0	0.9836418	-0.0001016532	0	-0.56898	0	
0.0585	0	0.9833573	-0.0001016532	0	-0.573885	0	
0.059	0	0.9830704	-0.0001016532	0	-0.5787901	0	
0.0595	0	0.982781	-0.0001016532	0	-0.5836951	0	
0.06	0	0.9824892	-0.0001016532	0	-0.5886	0	
0.0605	0	0.9821948	-0.0001016532	0	-0.593505	0	
0.061	0	0.9818981	-0.0001016532	0	-0.5984101	0	
0.0615	0	0.9815989	-0.0001016532	0	-0.6033151	0	
0.062	0	0.9812973	-0.0001016532	0	-0.60822	0	
0.0625	0	0.9809932	-0.0001016532	0	-0.613125	0	
0.063	0	0.9806865	-0.0001016532	0	-0.6180301	0	
0.0635	0	0.9803776	-0.0001016532	0	-0.6229351	0	
0.064	0	0.9800661	-0.0001016532	0	-0.62784	0	
0.0645	0	0.9797522	-0.0001016532	0	-0.632745	0	
0.06500001	0	0.9794358	-0.0001016532	0	-0.6376501	0	
0.06550001	0	0.979117	-0.0001016532	0	-0.6425551	0	
0.066	0	0.9787957	-0.0001016532	0	-0.64746	0	
0.0665	0	0.9784719	-0.0001016532	0	-0.6523651	0	
0.067	0	0.9781458	-0.0001016532	0	-0.6572701	0	
0.0675	0	0.9778171	-0.0001016532	0	-0.6621751	0	
0.068	0	0.9774861	-0.0001016532	0	-0.66708	0	
0.0685	0	0.9771525	-0.0001016532	0	-0.6719851	0	
0.06900001	0	0.9768165	-0.0001016532	0	-0.6768901	0	
0.06950001	0	0.976478	-0.0001016532	0	-0.6817951	0	
0.07	0	0.9761372	-0.0001016532	0	-0.6867	0	
0.0705	0	0.9757938	-0.0001016532	0	-0.6916051	0	
0.071	0	0.975448	-0.0001016532	0	-0.6965101	0	
0.0715	0	0.9750997	-0.0001016532	0	-0.7014151	0	
0.072	0	0.974749	-0.0001016532	0	-0.70632	0	
0.07250001	0	0.9743959	-0.0001016532	0	-0.7112251	0	
0.07300001	0	0.9740403	-0.0001016532	0	-0.7161301	0	
0.0735	0	0.9736822	-0.0001016532	0	-0.7210351	0	
0.074	0	0.9733217	-0.0001016532	0	-0.72594	0	
0.0745	0	0.9729587	-0.0001016532	0	-0.7308451	0	
0.075	0	0.9725933	-0.0001016532	0	-0.7357501	0	
0.0755	0	0.9722254	-0.0001016532	0	-0.7406551	0	
0.07600001	0	0.9718551	-0.0001016532	0	-0.7455601	0	
0.07650001	0	0.9714823	-0.0001016532	0	-0.7504651	0	
0.07700001	0	0.9711071	-0.0001016532	0	-0.7553701	0	
0.0775	0	0.9707294	-0.0001016532	0	-0.7602751	0	
0.078	0	0.9703493	-0.0001016532	0	-0.7651801	0	
0.0785	0	0.9699667	-0.0001016532	0	-0.7700851	0	
0.079	0	0.9695817	-0.0001016532	0	-0.7749901	0	
0.0795	0	0.9691941	-0.0001016532	0	-0.7798951	0	
0.08000001	0	0.9688042	-0.0001016532	0	-0.7848001	0	
0.08050001	0	0.9684118	-0.0001016532	0	-0.7897051	0	
0.081	0	0.9680169	-0.0001016532	0	-0.7946101	0	
0.0815	0	0.9676197	-0.0001016532	0	-0.7995151	0	
0.082	0	0.9672199	-0.0001016532	0	-0.8044201	0	
0.0825	0	0.9668177	-0.0001016532	0	-0.8093251	0	
0.083	0	0.966413	-0.0001016532	0	-0.8142301	0	
0.08350001	0	0.9660059	-0.0001016532	0	-0.8191351	0	
0.08400001	0	0.9655963	-0.0001016532	0	-0.8240401	0	
0.08450001	0	0.9651843	-0.0001016532	0	-0.8289451	0	
0.085	0	0.9647698	-0.0001016532	0	-0.8338501	0	
0.0855	0	0.9643529	-0.0001016532	0	-0.8387551	0	
0.086	0	0.9639335	-0.0001016532	0	-0.8436601	0	
0.0865	0	0.9635117	-0.0001016532	0	-0.8485651	0	
0.087	0	0.9630874	-0.0001016532	0	-0.8534701	0	
0.08750001	0	0.9626607	-0.0001016532	0	-0.8583751	0	
0.08800001	0	0.9622315	-0.0001016532	0	-0.8632801	0	
0.0885	0	0.9617999	-0.0001016532	0	-0.8681851	0	
0.089	0	0.9613658	-0.0001016532	0	-0.8730901	0	
0.0895	0	0.9609292	-0.0001016532	0	-0.8779951	0	
0.09	0	0.9604902	-0.0001016532	0	-0.8829001	0	
0.0905	0	0.9600488	-0.0001016532	0	-0.8878051	0	
0.09100001	0	0.9596049	-0.0001016532	0	-0.8927101	0	
0.09150001	0	0.9591585	-0.0001016532	0	-0.8976151	0	
0.09200001	0	0.9587097	-0.0001016532	0	-0.9025201	0	
0.0925	0	0.9582585	-0.0001016532	0	-0.9074251	0	
0.093	0	0.9578047	-0.0001016532	0	-0.9123301	0	
0.0935	0	0.9573486	-0.0001016532	0	-0.9172351	0	
0.094	0	0.9568899	-0.0001016532	0	-0.9221401	0	
0.09450001	0	0.9564289	-0.0001016532	0	-0.9270451	0	
0.09500001	0	0.9559653	-0.0001016532	0	-0.9319501	0	
0.09550001	0	0.9554994	-0.0001016532	0	-0.9368551	0	
0.096	0	0.955031	-0.0001016532	0	-0.9417601	0	
0.0965	0	0.9545601	-0.0001016532	0	-0.9466651	0	
0.097	0	0.9540867	-0.0001016532	0	-0.9515701	0	
0.0975	0	0.953611	-0.0001016532	0	-0.9564751	0	
0.098	0	0.9531327	-0.0001016532	0	-0.9613801	0	
0.09850001	0	0.952652	-0.0001016532	0	-0.9662851	0	
0.09900001	0	0.9521689	-0.0001016532	0	-0.9711901	0	
